year,month,day,team,completion_percentage
2018,11,25,Houston,66.67%
2018,11,25,Miami,62.16%
2018,11,25,Denver,60.61%
2018,11,25,Cincinnati,51.35%
2018,11,25,Washington,63.16%
2018,11,25,San Francisco,69.23%
2018,11,25,Jacksonville,55.56%
2018,11,25,Green Bay,70.00%
2018,11,25,Baltimore,68.42%
2018,11,25,Cleveland,80.95%
2018,11,25,Arizona,45.00%
2018,11,25,Buffalo,61.54%
2018,11,25,NY Jets,50.00%
2018,11,18,New Orleans,81.48%
2018,11,18,Minnesota,81.82%
2018,11,18,Atlanta,73.08%
2018,11,18,Las Vegas,64.86%
2018,11,18,Philadelphia,72.73%
2018,11,18,Carolina,79.31%
2018,11,18,LA Rams,71.79%
2018,11,18,NY Giants,61.29%
2018,11,18,LA Chargers,69.23%
2018,11,18,Kansas City,75.00%
2018,11,18,Seattle,67.74%
2018,11,18,Detroit,59.52%
2018,11,18,Indianapolis,72.41%
2018,11,18,Pittsburgh,85.19%
2018,11,18,Tampa Bay,70.73%
2018,11,18,Chicago,76.67%
2018,11,18,New England,53.49%
2018,11,18,Tennessee,68.00%
2018,11,18,Miami,62.16%
2018,11,18,Houston,70.83%
2018,11,18,Washington,70.37%
2018,11,18,Dallas,72.22%
2018,11,18,Denver,61.90%
2018,11,18,Cincinnati,60.87%
2018,11,18,Jacksonville,69.23%
2018,11,18,San Francisco,69.23%
2018,11,18,Green Bay,70.00%
2018,11,18,Baltimore,63.16%
2018,11,18,Cleveland,80.95%
2018,11,18,Arizona,56.41%
2018,11,18,Buffalo,61.54%
2018,11,18,NY Jets,50.00%
2018,11,11,New Orleans,69.44%
2018,11,11,Las Vegas,68.00%
2018,11,11,Minnesota,81.82%
2018,11,11,Atlanta,68.42%
2018,11,11,Philadelphia,70.00%
2018,11,11,Carolina,79.31%
2018,11,11,NY Giants,63.83%
2018,11,11,LA Rams,70.00%
2018,11,11,LA Chargers,50.00%
2018,11,11,Detroit,69.44%
2018,11,11,New England,63.89%
2018,11,11,Kansas City,71.88%
2018,11,11,Pittsburgh,85.19%
2018,11,11,Seattle,66.67%
2018,11,11,Indianapolis,70.97%
2018,11,11,Tampa Bay,58.54%
2018,11,11,Miami,62.50%
2018,11,11,Tennessee,72.41%
2018,11,11,Houston,70.83%
2018,11,11,Chicago,60.00%
2018,11,11,Cincinnati,61.76%
2018,11,11,Denver,61.90%
2018,11,11,Washington,65.22%
2018,11,11,Dallas,65.63%
2018,11,11,Jacksonville,58.54%
2018,11,11,Baltimore,63.16%
2018,11,11,San Francisco,72.73%
2018,11,11,Green Bay,55.81%
2018,11,11,Arizona,57.50%
2018,11,11,Cleveland,69.77%
2018,11,11,Buffalo,63.27%
2018,11,11,NY Jets,53.85%
2018,11,4,New Orleans,79.17%
2018,11,4,Las Vegas,68.00%
2018,11,4,Atlanta,79.49%
2018,11,4,Minnesota,75.61%
2018,11,4,Philadelphia,70.00%
2018,11,4,LA Chargers,73.08%
2018,11,4,NY Giants,63.83%
2018,11,4,New England,64.44%
2018,11,4,LA Rams,55.56%
2018,11,4,Detroit,67.50%
2018,11,4,Carolina,73.33%
2018,11,4,Tampa Bay,58.00%
2018,11,4,Seattle,82.35%
2018,11,4,Kansas City,70.59%
2018,11,4,Indianapolis,70.97%
2018,11,4,Miami,57.89%
2018,11,4,Pittsburgh,66.67%
2018,11,4,Chicago,55.17%
2018,11,4,Houston,80.00%
2018,11,4,Denver,67.65%
2018,11,4,Tennessee,75.00%
2018,11,4,Cincinnati,61.76%
2018,11,4,Washington,62.50%
2018,11,4,Dallas,62.86%
2018,11,4,Jacksonville,58.54%
2018,11,4,San Francisco,72.73%
2018,11,4,Green Bay,60.00%
2018,11,4,Baltimore,59.09%
2018,11,4,Arizona,57.50%
2018,11,4,Cleveland,61.11%
2018,11,4,NY Jets,48.28%
2018,11,4,Buffalo,58.54%
2018,10,28,New Orleans,73.33%
2018,10,28,Las Vegas,74.19%
2018,10,28,Atlanta,79.49%
2018,10,28,Minnesota,62.50%
2018,10,28,Philadelphia,81.08%
2018,10,28,LA Rams,75.00%
2018,10,28,LA Chargers,73.08%
2018,10,28,NY Giants,71.05%
2018,10,28,Tampa Bay,61.54%
2018,10,28,New England,69.44%
2018,10,28,Detroit,81.82%
2018,10,28,Chicago,52.00%
2018,10,28,Carolina,64.10%
2018,10,28,Miami,57.89%
2018,10,28,Pittsburgh,69.57%
2018,10,28,Indianapolis,73.91%
2018,10,28,Kansas City,71.79%
2018,10,28,Seattle,73.91%
2018,10,28,Houston,80.00%
2018,10,28,Cincinnati,57.58%
2018,10,28,Tennessee,75.00%
2018,10,28,Denver,68.18%
2018,10,28,Washington,56.00%
2018,10,28,Dallas,62.86%
2018,10,28,Jacksonville,64.29%
2018,10,28,San Francisco,55.56%
2018,10,28,Baltimore,60.00%
2018,10,28,Green Bay,54.35%
2018,10,28,Arizona,53.85%
2018,10,28,NY Jets,40.48%
2018,10,28,Cleveland,67.65%
2018,10,28,Buffalo,64.52%
2018,10,21,New Orleans,89.66%
2018,10,21,Las Vegas,74.19%
2018,10,21,Minnesota,70.59%
2018,10,21,Chicago,70.97%
2018,10,21,Tampa Bay,73.17%
2018,10,21,Atlanta,75.61%
2018,10,21,NY Giants,55.81%
2018,10,21,LA Chargers,57.14%
2018,10,21,LA Rams,50.00%
2018,10,21,New England,68.57%
2018,10,21,Philadelphia,72.22%
2018,10,21,Miami,63.64%
2018,10,21,Carolina,67.50%
2018,10,21,Pittsburgh,69.57%
2018,10,21,Cincinnati,61.90%
2018,10,21,Detroit,53.85%
2018,10,21,Indianapolis,53.49%
2018,10,21,Washington,58.33%
2018,10,21,Seattle,73.91%
2018,10,21,Houston,57.69%
2018,10,21,Kansas City,63.89%
2018,10,21,Denver,68.18%
2018,10,21,San Francisco,69.57%
2018,10,21,Dallas,62.96%
2018,10,21,Tennessee,66.67%
2018,10,21,Baltimore,67.57%
2018,10,21,Jacksonville,57.69%
2018,10,21,Green Bay,54.35%
2018,10,21,NY Jets,80.00%
2018,10,21,Arizona,53.85%
2018,10,21,Cleveland,47.83%
2018,10,21,Buffalo,55.17%
2018,10,14,New Orleans,89.66%
2018,10,14,LA Rams,71.88%
2018,10,14,Las Vegas,72.73%
2018,10,14,Minnesota,81.08%
2018,10,14,LA Chargers,81.48%
2018,10,14,Chicago,73.08%
2018,10,14,Tampa Bay,65.79%
2018,10,14,NY Giants,55.81%
2018,10,14,Atlanta,68.89%
2018,10,14,Philadelphia,72.22%
2018,10,14,New England,77.27%
2018,10,14,Miami,57.14%
2018,10,14,Indianapolis,64.41%
2018,10,14,Washington,58.97%
2018,10,14,Cincinnati,66.67%
2018,10,14,Carolina,60.00%
2018,10,14,Houston,75.00%
2018,10,14,Detroit,53.85%
2018,10,14,Pittsburgh,65.52%
2018,10,14,Kansas City,57.89%
2018,10,14,Denver,68.63%
2018,10,14,Seattle,61.90%
2018,10,14,Green Bay,61.54%
2018,10,14,Dallas,62.07%
2018,10,14,Jacksonville,54.10%
2018,10,14,Tennessee,53.85%
2018,10,14,San Francisco,62.96%
2018,10,14,Baltimore,50.88%
2018,10,14,Arizona,40.00%
2018,10,14,NY Jets,45.45%
2018,10,14,Cleveland,58.14%
2018,10,14,Buffalo,50.00%
2018,10,7,New Orleans,55.88%
2018,10,7,NY Giants,75.61%
2018,10,7,LA Rams,76.47%
2018,10,7,Las Vegas,60.34%
2018,10,7,Chicago,73.08%
2018,10,7,Miami,60.00%
2018,10,7,Minnesota,72.00%
2018,10,7,Tampa Bay,65.79%
2018,10,7,Washington,60.00%
2018,10,7,Atlanta,74.36%
2018,10,7,LA Chargers,64.10%
2018,10,7,New England,77.27%
2018,10,7,Carolina,62.50%
2018,10,7,Detroit,80.00%
2018,10,7,Philadelphia,66.00%
2018,10,7,Indianapolis,64.41%
2018,10,7,Cincinnati,70.73%
2018,10,7,Kansas City,62.22%
2018,10,7,Jacksonville,76.32%
2018,10,7,Pittsburgh,57.45%
2018,10,7,Baltimore,66.67%
2018,10,7,Tennessee,69.77%
2018,10,7,Seattle,73.08%
2018,10,7,Green Bay,55.00%
2018,10,7,Houston,69.05%
2018,10,7,Dallas,62.96%
2018,10,7,Denver,63.64%
2018,10,7,Arizona,55.56%
2018,10,7,San Francisco,62.16%
2018,10,7,NY Jets,50.00%
2018,10,7,Cleveland,51.22%
2018,10,7,Buffalo,48.48%
2018,9,30,New Orleans,60.98%
2018,9,30,Kansas City,72.73%
2018,9,30,Minnesota,58.33%
2018,9,30,New England,57.14%
2018,9,30,Detroit,68.97%
2018,9,30,Pittsburgh,63.79%
2018,9,30,Atlanta,61.11%
2018,9,30,Washington,54.05%
2018,9,30,Baltimore,53.19%
2018,9,30,NY Jets,52.78%
2018,9,30,LA Chargers,75.68%
2018,9,30,Dallas,56.67%
2018,9,30,Green Bay,62.50%
2018,9,30,Tampa Bay,54.90%
2018,9,30,Philadelphia,65.91%
2018,9,30,Las Vegas,67.86%
2018,9,30,Miami,68.18%
2018,9,30,Tennessee,59.46%
2018,9,30,Chicago,54.05%
2018,9,30,NY Giants,35.71%
2018,9,30,Seattle,62.07%
2018,9,30,LA Rams,53.33%
2018,9,30,Jacksonville,63.89%
2018,9,30,San Francisco,60.61%
2018,9,30,Cincinnati,52.27%
2018,9,30,Buffalo,45.00%
2018,9,30,Denver,67.74%
2018,9,30,Indianapolis,60.00%
2018,9,30,Carolina,58.54%
2018,9,30,Houston,58.33%
2018,9,30,Arizona,44.12%
2018,9,30,Cleveland,53.33%
2018,9,23,New Orleans,60.98%
2018,9,23,Kansas City,72.73%
2018,9,23,Minnesota,58.33%
2018,9,23,New England,57.14%
2018,9,23,Detroit,68.97%
2018,9,23,Pittsburgh,63.79%
2018,9,23,Atlanta,61.11%
2018,9,23,Washington,54.05%
2018,9,23,Baltimore,53.19%
2018,9,23,NY Jets,52.78%
2018,9,23,LA Chargers,75.68%
2018,9,23,Dallas,56.67%
2018,9,23,Green Bay,62.50%
2018,9,23,Tampa Bay,54.90%
2018,9,23,Philadelphia,65.91%
2018,9,23,Las Vegas,67.86%
2018,9,23,Miami,68.18%
2018,9,23,Tennessee,59.46%
2018,9,23,Chicago,54.05%
2018,9,23,NY Giants,35.71%
2018,9,23,Seattle,62.07%
2018,9,23,LA Rams,53.33%
2018,9,23,Jacksonville,63.89%
2018,9,23,San Francisco,60.61%
2018,9,23,Cincinnati,52.27%
2018,9,23,Buffalo,45.00%
2018,9,23,Denver,67.74%
2018,9,23,Indianapolis,60.00%
2018,9,23,Carolina,58.54%
2018,9,23,Houston,58.33%
2018,9,23,Arizona,44.12%
2018,9,23,Cleveland,53.33%
2018,9,16,New Orleans,60.98%
2018,9,16,Kansas City,72.73%
2018,9,16,Minnesota,58.33%
2018,9,16,New England,57.14%
2018,9,16,Detroit,68.97%
2018,9,16,Pittsburgh,63.79%
2018,9,16,Atlanta,61.11%
2018,9,16,Washington,54.05%
2018,9,16,Baltimore,53.19%
2018,9,16,NY Jets,52.78%
2018,9,16,LA Chargers,75.68%
2018,9,16,Dallas,56.67%
2018,9,16,Green Bay,62.50%
2018,9,16,Tampa Bay,54.90%
2018,9,16,Philadelphia,65.91%
2018,9,16,Las Vegas,67.86%
2018,9,16,Miami,68.18%
2018,9,16,Tennessee,59.46%
2018,9,16,Chicago,54.05%
2018,9,16,NY Giants,35.71%
2018,9,16,Seattle,62.07%
2018,9,16,LA Rams,53.33%
2018,9,16,Jacksonville,63.89%
2018,9,16,San Francisco,60.61%
2018,9,16,Cincinnati,52.27%
2018,9,16,Buffalo,45.00%
2018,9,16,Denver,67.74%
2018,9,16,Indianapolis,60.00%
2018,9,16,Carolina,58.54%
2018,9,16,Houston,58.33%
2018,9,16,Arizona,44.12%
2018,9,16,Cleveland,53.33%
2018,9,9,New Orleans,60.98%
2018,9,9,Kansas City,72.73%
2018,9,9,Minnesota,58.33%
2018,9,9,New England,57.14%
2018,9,9,Detroit,68.97%
2018,9,9,Pittsburgh,63.79%
2018,9,9,Atlanta,61.11%
2018,9,9,Washington,54.05%
2018,9,9,Baltimore,53.19%
2018,9,9,NY Jets,52.78%
2018,9,9,LA Chargers,75.68%
2018,9,9,Dallas,56.67%
2018,9,9,Green Bay,62.50%
2018,9,9,Tampa Bay,54.90%
2018,9,9,Philadelphia,65.91%
2018,9,9,Las Vegas,67.86%
2018,9,9,Miami,68.18%
2018,9,9,Tennessee,59.46%
2018,9,9,Chicago,54.05%
2018,9,9,NY Giants,35.71%
2018,9,9,Seattle,62.07%
2018,9,9,LA Rams,53.33%
2018,9,9,Jacksonville,63.89%
2018,9,9,San Francisco,60.61%
2018,9,9,Cincinnati,52.27%
2018,9,9,Buffalo,45.00%
2018,9,9,Denver,67.74%
2018,9,9,Indianapolis,60.00%
2018,9,9,Carolina,58.54%
2018,9,9,Houston,58.33%
2018,9,9,Arizona,44.12%
2018,9,9,Cleveland,53.33%
2018,9,2,New Orleans,60.98%
2018,9,2,Kansas City,72.73%
2018,9,2,Minnesota,58.33%
2018,9,2,New England,57.14%
2018,9,2,Detroit,68.97%
2018,9,2,Pittsburgh,63.79%
2018,9,2,Atlanta,61.11%
2018,9,2,Washington,54.05%
2018,9,2,Baltimore,53.19%
2018,9,2,NY Jets,52.78%
2018,9,2,LA Chargers,75.68%
2018,9,2,Dallas,56.67%
2018,9,2,Green Bay,62.50%
2018,9,2,Tampa Bay,54.90%
2018,9,2,Philadelphia,65.91%
2018,9,2,Las Vegas,67.86%
2018,9,2,Miami,68.18%
2018,9,2,Tennessee,59.46%
2018,9,2,Chicago,54.05%
2018,9,2,NY Giants,35.71%
2018,9,2,Seattle,62.07%
2018,9,2,LA Rams,53.33%
2018,9,2,Jacksonville,63.89%
2018,9,2,San Francisco,60.61%
2018,9,2,Cincinnati,52.27%
2018,9,2,Buffalo,45.00%
2018,9,2,Denver,67.74%
2018,9,2,Indianapolis,60.00%
2018,9,2,Carolina,58.54%
2018,9,2,Houston,58.33%
2018,9,2,Arizona,44.12%
2018,9,2,Cleveland,53.33%
2018,2,25,New Orleans,60.98%
2018,2,25,Kansas City,72.73%
2018,2,25,Minnesota,58.33%
2018,2,25,New England,57.14%
2018,2,25,Detroit,68.97%
2018,2,25,Pittsburgh,63.79%
2018,2,25,Atlanta,61.11%
2018,2,25,Washington,54.05%
2018,2,25,Baltimore,53.19%
2018,2,25,NY Jets,52.78%
2018,2,25,LA Chargers,75.68%
2018,2,25,Dallas,56.67%
2018,2,25,Green Bay,62.50%
2018,2,25,Tampa Bay,54.90%
2018,2,25,Philadelphia,65.91%
2018,2,25,Las Vegas,67.86%
2018,2,25,Miami,68.18%
2018,2,25,Tennessee,59.46%
2018,2,25,Chicago,54.05%
2018,2,25,NY Giants,35.71%
2018,2,25,Seattle,62.07%
2018,2,25,LA Rams,53.33%
2018,2,25,Jacksonville,63.89%
2018,2,25,San Francisco,60.61%
2018,2,25,Cincinnati,52.27%
2018,2,25,Buffalo,45.00%
2018,2,25,Denver,67.74%
2018,2,25,Indianapolis,60.00%
2018,2,25,Carolina,58.54%
2018,2,25,Houston,58.33%
2018,2,25,Arizona,44.12%
2018,2,25,Cleveland,53.33%
2018,2,18,New Orleans,60.98%
2018,2,18,Kansas City,72.73%
2018,2,18,Minnesota,58.33%
2018,2,18,New England,57.14%
2018,2,18,Detroit,68.97%
2018,2,18,Pittsburgh,63.79%
2018,2,18,Atlanta,61.11%
2018,2,18,Washington,54.05%
2018,2,18,Baltimore,53.19%
2018,2,18,NY Jets,52.78%
2018,2,18,LA Chargers,75.68%
2018,2,18,Dallas,56.67%
2018,2,18,Green Bay,62.50%
2018,2,18,Tampa Bay,54.90%
2018,2,18,Philadelphia,65.91%
2018,2,18,Las Vegas,67.86%
2018,2,18,Miami,68.18%
2018,2,18,Tennessee,59.46%
2018,2,18,Chicago,54.05%
2018,2,18,NY Giants,35.71%
2018,2,18,Seattle,62.07%
2018,2,18,LA Rams,53.33%
2018,2,18,Jacksonville,63.89%
2018,2,18,San Francisco,60.61%
2018,2,18,Cincinnati,52.27%
2018,2,18,Buffalo,45.00%
2018,2,18,Denver,67.74%
2018,2,18,Indianapolis,60.00%
2018,2,18,Carolina,58.54%
2018,2,18,Houston,58.33%
2018,2,18,Arizona,44.12%
2018,2,18,Cleveland,53.33%
2018,2,11,New Orleans,60.98%
2018,2,11,Kansas City,72.73%
2018,2,11,Minnesota,58.33%
2018,2,11,New England,57.14%
2018,2,11,Detroit,68.97%
2018,2,11,Pittsburgh,63.79%
2018,2,11,Atlanta,61.11%
2018,2,11,Washington,54.05%
2018,2,11,Baltimore,53.19%
2018,2,11,NY Jets,52.78%
2018,2,11,LA Chargers,75.68%
2018,2,11,Dallas,56.67%
2018,2,11,Green Bay,62.50%
2018,2,11,Tampa Bay,54.90%
2018,2,11,Philadelphia,65.91%
2018,2,11,Las Vegas,67.86%
2018,2,11,Miami,68.18%
2018,2,11,Tennessee,59.46%
2018,2,11,Chicago,54.05%
2018,2,11,NY Giants,35.71%
2018,2,11,Seattle,62.07%
2018,2,11,LA Rams,53.33%
2018,2,11,Jacksonville,63.89%
2018,2,11,San Francisco,60.61%
2018,2,11,Cincinnati,52.27%
2018,2,11,Buffalo,45.00%
2018,2,11,Denver,67.74%
2018,2,11,Indianapolis,60.00%
2018,2,11,Carolina,58.54%
2018,2,11,Houston,58.33%
2018,2,11,Arizona,44.12%
2018,2,11,Cleveland,53.33%
2018,2,4,New Orleans,60.98%
2018,2,4,Kansas City,72.73%
2018,2,4,Minnesota,58.33%
2018,2,4,New England,69.23%
2018,2,4,Detroit,68.97%
2018,2,4,Pittsburgh,63.79%
2018,2,4,Atlanta,61.11%
2018,2,4,Washington,54.05%
2018,2,4,Baltimore,53.19%
2018,2,4,NY Jets,52.78%
2018,2,4,LA Chargers,75.68%
2018,2,4,Dallas,56.67%
2018,2,4,Green Bay,62.50%
2018,2,4,Tampa Bay,54.90%
2018,2,4,Philadelphia,78.79%
2018,2,4,Las Vegas,67.86%
2018,2,4,Miami,68.18%
2018,2,4,Tennessee,59.46%
2018,2,4,Chicago,54.05%
2018,2,4,NY Giants,35.71%
2018,2,4,Seattle,62.07%
2018,2,4,LA Rams,53.33%
2018,2,4,Jacksonville,63.89%
2018,2,4,San Francisco,60.61%
2018,2,4,Cincinnati,52.27%
2018,2,4,Buffalo,45.00%
2018,2,4,Denver,67.74%
2018,2,4,Indianapolis,60.00%
2018,2,4,Carolina,58.54%
2018,2,4,Houston,58.33%
2018,2,4,Arizona,44.12%
2018,2,4,Cleveland,53.33%
2018,1,28,New Orleans,60.98%
2018,1,28,Kansas City,72.73%
2018,1,28,Minnesota,58.33%
2018,1,28,New England,69.23%
2018,1,28,Detroit,68.97%
2018,1,28,Pittsburgh,63.79%
2018,1,28,Atlanta,61.11%
2018,1,28,Washington,54.05%
2018,1,28,Baltimore,53.19%
2018,1,28,NY Jets,52.78%
2018,1,28,LA Chargers,75.68%
2018,1,28,Dallas,56.67%
2018,1,28,Green Bay,62.50%
2018,1,28,Tampa Bay,54.90%
2018,1,28,Philadelphia,78.79%
2018,1,28,Las Vegas,67.86%
2018,1,28,Miami,68.18%
2018,1,28,Tennessee,59.46%
2018,1,28,Chicago,54.05%
2018,1,28,NY Giants,35.71%
2018,1,28,Seattle,62.07%
2018,1,28,LA Rams,53.33%
2018,1,28,Jacksonville,63.89%
2018,1,28,San Francisco,60.61%
2018,1,28,Cincinnati,52.27%
2018,1,28,Buffalo,45.00%
2018,1,28,Denver,67.74%
2018,1,28,Indianapolis,60.00%
2018,1,28,Carolina,58.54%
2018,1,28,Houston,58.33%
2018,1,28,Arizona,44.12%
2018,1,28,Cleveland,53.33%
2018,1,21,New Orleans,60.98%
2018,1,21,Minnesota,62.50%
2018,1,21,Kansas City,72.73%
2018,1,21,New England,66.04%
2018,1,21,Detroit,68.97%
2018,1,21,Pittsburgh,63.79%
2018,1,21,Atlanta,61.11%
2018,1,21,Washington,54.05%
2018,1,21,Baltimore,53.19%
2018,1,21,NY Jets,52.78%
2018,1,21,LA Chargers,75.68%
2018,1,21,Dallas,56.67%
2018,1,21,Green Bay,62.50%
2018,1,21,Tampa Bay,54.90%
2018,1,21,Las Vegas,67.86%
2018,1,21,Miami,68.18%
2018,1,21,Tennessee,59.46%
2018,1,21,Chicago,54.05%
2018,1,21,NY Giants,35.71%
2018,1,21,Philadelphia,76.67%
2018,1,21,Seattle,62.07%
2018,1,21,LA Rams,53.33%
2018,1,21,San Francisco,60.61%
2018,1,21,Cincinnati,52.27%
2018,1,21,Buffalo,45.00%
2018,1,21,Jacksonville,53.85%
2018,1,21,Denver,67.74%
2018,1,21,Indianapolis,60.00%
2018,1,21,Carolina,58.54%
2018,1,21,Houston,58.33%
2018,1,21,Arizona,44.12%
2018,1,21,Cleveland,53.33%
2018,1,14,New Orleans,69.70%
2018,1,14,Minnesota,72.41%
2018,1,14,Kansas City,72.73%
2018,1,14,New England,66.04%
2018,1,14,Detroit,68.97%
2018,1,14,Pittsburgh,85.19%
2018,1,14,Atlanta,61.11%
2018,1,14,Washington,54.05%
2018,1,14,Baltimore,53.19%
2018,1,14,NY Jets,52.78%
2018,1,14,LA Chargers,75.68%
2018,1,14,Dallas,56.67%
2018,1,14,Green Bay,62.50%
2018,1,14,Tampa Bay,54.90%
2018,1,14,Las Vegas,67.86%
2018,1,14,Miami,68.18%
2018,1,14,Tennessee,59.46%
2018,1,14,Chicago,54.05%
2018,1,14,NY Giants,35.71%
2018,1,14,Philadelphia,76.67%
2018,1,14,Seattle,62.07%
2018,1,14,LA Rams,53.33%
2018,1,14,San Francisco,60.61%
2018,1,14,Jacksonville,52.17%
2018,1,14,Cincinnati,52.27%
2018,1,14,Buffalo,45.00%
2018,1,14,Denver,67.74%
2018,1,14,Indianapolis,60.00%
2018,1,14,Carolina,58.54%
2018,1,14,Houston,58.33%
2018,1,14,Arizona,44.12%
2018,1,14,Cleveland,53.33%
2018,1,7,New Orleans,73.33%
2018,1,7,Minnesota,72.41%
2018,1,7,Kansas City,72.73%
2018,1,7,New England,47.50%
2018,1,7,Detroit,68.97%
2018,1,7,Pittsburgh,85.19%
2018,1,7,Atlanta,70.00%
2018,1,7,Washington,54.05%
2018,1,7,Baltimore,53.19%
2018,1,7,NY Jets,52.78%
2018,1,7,LA Chargers,75.68%
2018,1,7,Dallas,56.67%
2018,1,7,Green Bay,62.50%
2018,1,7,Tampa Bay,54.90%
2018,1,7,Las Vegas,67.86%
2018,1,7,Miami,68.18%
2018,1,7,Tennessee,61.29%
2018,1,7,Chicago,54.05%
2018,1,7,NY Giants,35.71%
2018,1,7,Seattle,62.07%
2018,1,7,LA Rams,53.33%
2018,1,7,Buffalo,70.37%
2018,1,7,Philadelphia,67.65%
2018,1,7,Jacksonville,44.12%
2018,1,7,San Francisco,60.61%
2018,1,7,Cincinnati,52.27%
2018,1,7,Denver,67.74%
2018,1,7,Indianapolis,60.00%
2018,1,7,Carolina,41.18%
2018,1,7,Houston,58.33%
2018,1,7,Arizona,44.12%
2018,1,7,Cleveland,53.33%
2017,12,31,New Orleans,75.00%
2017,12,31,New England,75.00%
2017,12,31,Minnesota,56.00%
2017,12,31,Kansas City,64.10%
2017,12,31,Detroit,54.29%
2017,12,31,Washington,51.35%
2017,12,31,Baltimore,76.32%
2017,12,31,Atlanta,61.11%
2017,12,31,NY Jets,53.57%
2017,12,31,Pittsburgh,66.67%
2017,12,31,Tampa Bay,77.78%
2017,12,31,Dallas,61.76%
2017,12,31,Green Bay,42.50%
2017,12,31,NY Giants,60.00%
2017,12,31,Chicago,60.87%
2017,12,31,LA Rams,56.41%
2017,12,31,LA Chargers,55.00%
2017,12,31,Tennessee,56.41%
2017,12,31,Las Vegas,51.72%
2017,12,31,Miami,50.00%
2017,12,31,Seattle,66.67%
2017,12,31,Jacksonville,64.00%
2017,12,31,Cincinnati,65.85%
2017,12,31,Buffalo,55.26%
2017,12,31,Philadelphia,50.00%
2017,12,31,Carolina,61.54%
2017,12,31,San Francisco,70.00%
2017,12,31,Indianapolis,48.48%
2017,12,31,Denver,57.89%
2017,12,31,Arizona,60.00%
2017,12,31,Houston,47.06%
2017,12,31,Cleveland,50.00%
2017,12,24,New Orleans,72.22%
2017,12,24,Kansas City,76.67%
2017,12,24,Minnesota,56.00%
2017,12,24,New England,62.86%
2017,12,24,Detroit,75.76%
2017,12,24,Washington,69.23%
2017,12,24,Atlanta,54.84%
2017,12,24,Baltimore,76.32%
2017,12,24,NY Jets,48.72%
2017,12,24,Pittsburgh,73.33%
2017,12,24,Dallas,66.67%
2017,12,24,NY Giants,64.91%
2017,12,24,Green Bay,42.50%
2017,12,24,Las Vegas,55.26%
2017,12,24,LA Rams,65.22%
2017,12,24,LA Chargers,55.56%
2017,12,24,Tampa Bay,77.14%
2017,12,24,Tennessee,69.70%
2017,12,24,Miami,57.14%
2017,12,24,Chicago,67.39%
2017,12,24,Seattle,46.67%
2017,12,24,Philadelphia,63.16%
2017,12,24,Jacksonville,72.41%
2017,12,24,Buffalo,58.62%
2017,12,24,Cincinnati,50.00%
2017,12,24,Carolina,64.52%
2017,12,24,San Francisco,72.09%
2017,12,24,Indianapolis,48.48%
2017,12,24,Denver,65.38%
2017,12,24,Arizona,39.02%
2017,12,24,Houston,38.71%
2017,12,24,Cleveland,54.05%
2017,12,17,New Orleans,74.29%
2017,12,17,New England,55.81%
2017,12,17,Kansas City,76.67%
2017,12,17,Minnesota,61.36%
2017,12,17,NY Jets,38.10%
2017,12,17,Detroit,75.76%
2017,12,17,Atlanta,55.56%
2017,12,17,Washington,55.56%
2017,12,17,Green Bay,76.09%
2017,12,17,Baltimore,57.14%
2017,12,17,Pittsburgh,66.67%
2017,12,17,Las Vegas,58.54%
2017,12,17,Dallas,66.67%
2017,12,17,Miami,65.79%
2017,12,17,NY Giants,67.39%
2017,12,17,LA Chargers,55.56%
2017,12,17,LA Rams,61.54%
2017,12,17,Chicago,67.39%
2017,12,17,Seattle,54.84%
2017,12,17,Tennessee,51.61%
2017,12,17,Tampa Bay,68.42%
2017,12,17,Buffalo,43.75%
2017,12,17,Philadelphia,56.86%
2017,12,17,Cincinnati,48.65%
2017,12,17,Jacksonville,66.67%
2017,12,17,Carolina,52.00%
2017,12,17,Indianapolis,56.67%
2017,12,17,Arizona,65.38%
2017,12,17,Houston,52.63%
2017,12,17,Denver,65.38%
2017,12,17,San Francisco,60.61%
2017,12,17,Cleveland,71.43%
2017,12,10,New Orleans,74.29%
2017,12,10,New England,70.00%
2017,12,10,Minnesota,83.33%
2017,12,10,NY Jets,72.22%
2017,12,10,Kansas City,57.58%
2017,12,10,Washington,70.27%
2017,12,10,Atlanta,55.56%
2017,12,10,Baltimore,63.89%
2017,12,10,Detroit,79.41%
2017,12,10,Green Bay,59.09%
2017,12,10,LA Chargers,72.09%
2017,12,10,Las Vegas,61.11%
2017,12,10,Pittsburgh,60.00%
2017,12,10,Dallas,50.00%
2017,12,10,Tennessee,65.22%
2017,12,10,Miami,56.25%
2017,12,10,Seattle,64.52%
2017,12,10,LA Rams,67.74%
2017,12,10,NY Giants,61.76%
2017,12,10,Cincinnati,58.33%
2017,12,10,Buffalo,44.12%
2017,12,10,Philadelphia,64.44%
2017,12,10,Tampa Bay,65.63%
2017,12,10,Chicago,80.00%
2017,12,10,Indianapolis,58.33%
2017,12,10,Carolina,60.71%
2017,12,10,Jacksonville,75.00%
2017,12,10,Houston,63.27%
2017,12,10,Arizona,56.25%
2017,12,10,San Francisco,70.27%
2017,12,10,Denver,46.34%
2017,12,10,Cleveland,46.88%
2017,12,3,New Orleans,68.75%
2017,12,3,New England,64.29%
2017,12,3,Kansas City,63.89%
2017,12,3,Atlanta,75.00%
2017,12,3,NY Jets,52.78%
